id,group,x,y
C001_0,C001,8.223575600005917,-0.3255400770930996
C001_1,C001,8.446528279507962,0.1190871247807859
C001_2,C001,8.300450112021396,0.05877141967128644
C001_3,C001,8.623663086636423,0.1697276544105302
C001_4,C001,8.463222243328971,0.1100399021608712
C001_5,C001,8.211829207399623,0.15424267706776987
C001_6,C001,8.086245949492021,-0.05313469004298597
C001_7,C001,8.280032985450541,-0.2765629929353617
C001_8,C001,8.332345778079768,0.2629528122615043
C001_9,C001,8.29557962597998,-0.19321653444149386
C001_10,C001,8.33543140503897,0.13662789064015807
C001_11,C001,8.380914898504061,-0.0004265146341076073
C001_12,C001,8.124524438654781,0.08016251879286818
C001_13,C001,8.427716973885392,0.21460259291476028
C001_14,C001,8.588248523779352,0.11017327681616781
C001_15,C001,8.087213299010221,-0.22966296035444309
C001_16,C001,8.17432344719343,0.04718799324521875
C001_17,C001,8.22404062367111,0.20952602577221802
C001_18,C001,8.389016841718732,0.05836278331209027
C001_19,C001,8.470081296754424,0.05443966422846482
C001_20,C001,8.124309278636915,0.3923086687861985
C001_21,C001,8.58407822490589,0.2437005874113194
C001_22,C001,8.23040277871912,-0.29559964412044365
C001_23,C001,8.108938446044734,-0.16855411423531924
C001_24,C001,8.491142314586934,0.1440511057292803
C001_25,C001,8.583342866318763,0.34279199295513657
C001_26,C001,8.433345217382623,0.0567298919777712
C001_27,C001,8.291919626841395,-0.05383403117195683
C001_28,C001,8.164754606613768,0.08172802028490445
C001_29,C001,8.40090736639263,-0.06483172560823848
C001_30,C001,8.220306317111763,0.07311222853643627
C001_31,C001,8.55898561036804,0.013039699139897278
C001_32,C001,8.395403047038673,-0.08770663020859043
C001_33,C001,8.31023586401116,-0.050640356619659044
C001_34,C001,8.304387416999736,-0.09555916463079843
C001_35,C001,8.413421340504744,0.20795668713357088
C001_36,C001,8.19845191721958,0.22387307740206752
C001_37,C001,8.285519609157708,-0.05873420531235618
C001_38,C001,8.004965457434912,-0.3874361124503542
C001_39,C001,8.467680486703232,-0.174573345789787
