feature,effect,q,feature_set
Gene000,-0.3877433143670461,0.1266673007051081,Regulators
Gene001,1.298523014728597,0.0007745352623311198,none
Gene002,-0.498183042414007,0.030914877315475545,none
Gene003,2.9721211470984508,5.406801194968776e-06,none
Gene004,0.8482089365157705,0.025403088653751085,none
Gene005,0.07080306006554343,0.0908292483635541,none
Gene006,-1.661350739530781,0.0007451278488553174,none
Gene007,-1.2008980193124814,0.0012801130740472662,none
Gene008,-0.7032494065710648,0.01480765803071068,none
Gene009,-0.05174193423423558,0.788091946027186,none
Gene010,-1.1818714038626208,0.0026622788927034642,none
Gene011,0.9167710049662682,0.018821206122277077,none
Gene012,-1.1072418125572214,0.0020373940929736315,none
Gene013,0.05358693414749382,0.6120174348572853,none
Gene014,-0.4578386671065231,0.05627997280767266,none
Gene015,0.01827683768080308,0.11535060429287462,none
Gene016,1.297743808593529,0.0025317576120570716,none
Gene017,-0.042252829047403455,0.124651360692372,none
Gene018,0.06004953004187482,0.1481264999042589,none
Gene019,-0.15336378423313882,0.06500152930386424,none
Gene020,0.5051144845132823,0.12255848575847697,none
Gene021,0.453560674946524,0.13400653142730384,none
Gene022,-1.0879711421129863,0.005616071561306283,none
Gene023,1.6235055387074617,0.0004584499090888648,none
Gene024,0.626021286310378,0.009551248194833549,none
Gene025,0.8055827356129261,0.00647644107886412,none
Gene026,-0.5727864065615788,0.019283253947298566,none
Gene027,-0.7970741733663078,0.02534256665054762,none
Gene028,-0.2209526554169685,0.22549534523254877,none
Gene029,2.4071824083843985,4.554006248206263e-05,none
Gene030,1.5991462009947246,0.0012579136517155793,none
Gene031,-0.5626228060717227,0.05929943559390556,none
Gene032,1.888909211567088,0.0001099353137332842,none
Gene033,0.6453527664195228,0.02964469218248018,none
Gene034,0.6134067787025009,0.02679205127758688,none
Gene035,0.11046289133227703,0.2373820785078567,Regulators
Gene036,-0.9581209390360126,0.004478168946277418,none
Gene037,-0.595603491735995,0.024421413211272877,none
Gene038,-0.4507214740816847,0.06784392220014633,none
Gene039,-0.8416462193708824,0.006011033713649879,none
Gene040,0.4292805057866956,0.09664751898725088,none
Gene041,0.07230957015880171,0.16537166119912733,none
Gene042,-0.5191016995491196,0.016800686616580296,none
Gene043,-0.2261851947113576,0.10759215685866802,none
Gene044,0.912279562559327,0.00397366732635513,none
Gene045,0.4506750195363814,0.10223041180103175,none
Gene046,-0.4414313097102535,0.14808658470821606,none
Gene047,2.268224967403873,4.51291631012079e-05,none
Gene048,0.009116286864841904,0.5013457322962853,none
Gene049,-1.3155964351528242,0.00543088107573089,none
Gene050,1.3739537093347562,0.0006391182373517707,none
Gene051,2.0873070912396128,0.0001379873683292092,none
Gene052,0.7012644595848704,0.009299339513133836,none
Gene053,1.8188025884170484,9.620846608733156e-05,none
Gene054,-2.9264426887949244,2.1519888736777997e-06,none
Gene055,0.012201105813188205,0.10159006009804321,none
