id,x,y
0,4275.140627498052,2928.5933569903073
1,3050.944011650628,2341.811151501371
2,1257.4443769085235,1483.8805062143922
3,3701.3931216398632,2602.0245059862727
4,5126.2532184838565,3311.1069826696394
5,1733.6147147603265,1947.9023999320818
6,3766.784376825072,2815.3292476611055
7,2033.1510257282807,2031.762118116515
8,4465.655322074508,2839.7138457920255
9,1552.8542568265489,1773.6944251286545
10,2709.1236005966525,2165.947690790372
11,1198.3790202391028,1816.5990675231944
12,4057.4579569803705,2923.2886175702465
13,2882.0778047092376,2301.973681159805
14,3800.1614153809464,2957.869299600813
15,2938.2844010833223,2673.0943028192596
16,2444.4878082932987,2316.9198061807338
17,2269.8525391322496,2053.7288903210597
18,3647.404215254825,2829.6207781474686
19,2112.7768244788663,2012.4575226830577
20,2225.882707524353,2319.330509990907
21,7217.976313917057,3799.389088286265
22,3271.0227738847457,2443.6951349714554
23,1702.3883909178605,1919.236698671416
24,1811.8619328317523,2086.017799070188
25,2205.6941347640554,1980.575157733743
26,7069.200616599427,3679.2922278613482
27,2857.7281699224595,2374.0269440723373
28,3365.248454075686,2542.87920635812
29,3520.0752005025756,2791.151172229049
30,4238.791379080649,2779.5241799891464
31,2974.3491505129628,2357.261186108395
32,2331.2966613410363,2055.5109383217523
33,3898.7321021763114,2759.3401468037605
34,3825.4418853536563,2658.6993251356835
35,4949.014556375181,3255.3552148219273
36,5803.182220824171,3162.8170560756525
37,3084.627407385604,2693.1191114463527
38,2523.2305959208456,2165.80006380187
39,3089.414945285528,2662.41146278145
40,3137.5288045494763,2549.474381320771
41,3371.083198437438,2726.2228953967947
42,5416.9375313344435,3350.6615768104275
43,3306.385472755265,2629.5749898364306
44,2243.355124298144,2224.0178843805766
45,3682.491592885481,2826.376563156232
46,3067.5539141348163,2617.4987644576745
47,1440.142439697392,1751.990843357944
48,1497.6580204578365,1922.3966619684631
49,2595.014794444227,2190.1284068124783
50,4046.9248951956456,2943.549687409734
51,2639.3100827724093,2414.987766237483
52,3728.322496843606,2816.9684208725
53,1032.9141564036663,1429.2719031729293
54,3639.8564502736954,2905.9938503017493
55,5380.399120462877,3135.8476363151008
56,3034.0537222578378,2660.69211874531
57,2246.1295479054183,2117.9874819218553
58,1543.4115934437198,1766.1884670426757
59,1090.1804330703578,1526.761788317298
60,2986.9293592254653,2586.158469627233
61,2650.4209371479324,2454.0092580135592
62,3759.641376810092,2611.9825822603257
63,1577.9079935637997,2035.67562060555
64,2148.988641976531,1984.9955577052194
65,4466.842146394563,3068.9777503468354
66,1726.6632429085896,2084.952176939963
67,2626.164062570343,2263.023824412617
68,3063.112555650035,2415.2146485682947
69,3542.5044178072094,2674.1136589181287
70,3363.7168016116943,2618.6629964164317
71,2558.367147966097,2312.0051167209294
72,3915.8794989036996,2656.0599923584414
73,2555.4442963637343,2240.735678991092
74,2269.714216710631,2139.7234911572414
75,3316.800677067744,2573.600222449195
76,2751.689847072494,2131.774255558536
77,719.1358479899525,1254.1585176962385
