id,group,value
e0_0,Control,2.5882258675255443
e0_1,Control,2.130259804789097
e0_2,Control,1.1427823579646017
e0_3,Control,0.830899481524854
e0_4,Control,0.662360552230747
e0_5,Control,0.47798505518182105
e0_6,Control,1.9539678285949225
e0_7,Control,0.706283084786084
e0_8,Control,1.3110573005232797
e0_9,Control,1.153786993324268
e0_10,Control,1.225469719536795
e0_11,Control,1.3390457965482663
e0_12,Control,1.1707286444268812
e0_13,Control,2.295906697803343
e0_14,Control,0.47818805370643425
e0_15,Control,0.8168940911244332
e0_16,Control,1.0303558692386614
e0_17,Control,3.632459306620684
e0_18,Control,0.9436253359685991
e0_19,Control,0.7150490456602169
e0_20,Control,1.4712859844462611
e0_21,Control,1.4677660513886253
e0_22,Control,0.7442343989379876
e0_23,Control,0.5983122577293911
e0_24,Control,0.6453809977305246
e0_25,Control,0.5392812179264842
e0_26,Control,0.5965339644262767
e0_27,Control,0.822611308971809
e0_28,Control,0.7733307348126043
e0_29,Control,0.5696657243638117
e0_30,Control,0.6803511668484761
e0_31,Control,0.5417901341131152
e0_32,Control,1.1032971102050213
e0_33,Control,1.1032821344320554
e0_34,Control,0.7222329225004965
e0_35,Control,1.9220601111490427
e0_36,Control,0.6753224354640329
e0_37,Control,1.584256250903172
e0_38,Control,0.7542101460968064
e0_39,Control,0.500046213989127
e0_40,Control,0.6717033764491122
e0_41,Control,0.9787927328042029
e0_42,Control,0.9530568152681946
e0_43,Control,1.1464899854008985
e0_44,Control,1.453001872020457
e0_45,Control,1.0613219884736815
e0_46,Control,0.7656190934301341
e0_47,Control,1.1145783371276334
e0_48,Control,0.7852132728986244
e0_49,Control,0.7366194125562282
e0_50,Control,0.8107507319044114
e0_51,Control,0.651018059481569
e0_52,Control,1.250276505149518
e0_53,Control,1.089127716431356
e0_54,Control,0.6680735281387992
e0_55,Control,0.8718147697505175
e0_56,Control,0.9763816582098245
e0_57,Control,1.2360511041689748
e0_58,Control,1.7730509522012603
e0_59,Control,0.3134951120209644
e0_60,Control,1.5093388528766576
e0_61,Control,1.404279012139547
e0_62,Control,1.36503672980821
e0_63,Control,1.1228994607499652
e0_64,Control,0.6836176445462065
e0_65,Control,1.0898435076261221
e0_66,Control,0.6244184896840497
e0_67,Control,0.3548726610753025
e0_68,Control,0.9055277831073243
e0_69,Control,0.398126397043505
e0_70,Control,1.5699205407380228
e0_71,Control,1.3322674708331415
e0_72,Control,0.959304130166571
e0_73,Control,1.7654313564669373
e0_74,Control,0.47471981144008624
e0_75,Control,0.6120311402361357
e0_76,Control,1.3811216213702227
e0_77,Control,0.6275761793117935
e0_78,Control,0.8908940554957313
e0_79,Control,2.468026108138087
e0_80,Control,1.1613291825012784
e0_81,Control,1.1153722982115781
e0_82,Control,1.3810184054171484
e0_83,Control,1.1762933643276057
e0_84,Control,0.5941934632490763
e0_85,Control,1.766077770386303
e0_86,Control,0.7429112159731083
e0_87,Control,0.8091450136128824
e0_88,Control,3.1257423365522583
e0_89,Control,1.0577343392491352
e0_90,Control,1.1038895115673504
e0_91,Control,0.48164352784977477
e0_92,Control,0.8672947052057918
e0_93,Control,1.0449448308332703
e0_94,Control,0.6125303724504518
e0_95,Control,1.2728762469780557
e0_96,Control,0.6576122113063058
e0_97,Control,1.8810708251041872
e0_98,Control,1.1262336565568087
e0_99,Control,1.6034180394684963
e0_100,Control,1.3540905750485086
e0_101,Control,0.5393736197103348
e0_102,Control,1.5597902219963722
e0_103,Control,2.697136616488132
e0_104,Control,1.3966526633959866
e0_105,Control,0.825036227890064
e0_106,Control,0.7688100505312814
e0_107,Control,1.5920972720546736
e0_108,Control,1.4672363991373294
e0_109,Control,1.5932638359703812
e0_110,Control,0.6356505157449682
e0_111,Control,1.0240161958303007
e0_112,Control,0.2682181870939738
e0_113,Control,0.9531110438384071
e0_114,Control,0.5951646720681738
e0_115,Control,2.1975292991307076
e0_116,Control,0.3410562561998094
e0_117,Control,1.0644423455375776
e0_118,Control,0.697173681670904
e0_119,Control,0.955540047089656
e0_120,Control,0.6929713670209245
e0_121,Control,0.4008609336931226
e0_122,Control,0.9077180477746152
e0_123,Control,0.4079565353403657
e0_124,Control,0.6443694336096988
e0_125,Control,1.359013615277641
e0_126,Control,0.5372557666373121
e0_127,Control,0.6613176670869566
e0_128,Control,2.1788034197113677
e0_129,Control,1.671394995152055
e0_130,Control,1.311283096159729
e0_131,Control,2.0069040079652303
e0_132,Control,0.6355664543579977
e0_133,Control,1.1348624908608123
e0_134,Control,1.7376831030489865
e0_135,Control,1.6395408462552468
e0_136,Control,1.2073385435905755
e0_137,Control,0.8639732909583789
e0_138,Control,0.7449253953975783
e0_139,Control,1.0724395137188745
e0_140,Control,2.497420285098459
e0_141,Control,1.3755922306614141
e0_142,Control,0.612019368826537
e0_143,Control,0.9530269798531891
e0_144,Control,0.7449381125529465
e0_145,Control,2.3519832629878463
e0_146,Control,1.874263233188613
e0_147,Control,0.8871289380998552
e0_148,Control,0.4436253363218538
e0_149,Control,2.024066840564578
e1_0,Low dose,0.8945875805592809
e1_1,Low dose,0.9147501453884004
e1_2,Low dose,2.747259744879786
e1_3,Low dose,1.7639547304310192
e1_4,Low dose,3.5585953155036014
e1_5,Low dose,1.826934906718437
e1_6,Low dose,2.106739335825146
e1_7,Low dose,0.9799020472273335
e1_8,Low dose,1.262103224097694
e1_9,Low dose,0.7816498744168799
e1_10,Low dose,1.107442217071261
e1_11,Low dose,2.7710575656202336
e1_12,Low dose,1.887809197614562
e1_13,Low dose,1.754198439916249
e1_14,Low dose,0.7559993774824011
e1_15,Low dose,1.8402771804270894
e1_16,Low dose,3.5882147363043564
e1_17,Low dose,2.4202520988785956
e1_18,Low dose,1.2320440257029004
e1_19,Low dose,0.6768569822569872
e1_20,Low dose,1.943324659639183
e1_21,Low dose,1.1958513970682108
e1_22,Low dose,0.9670992714649664
e1_23,Low dose,2.808106867130717
e1_24,Low dose,1.6206149379164612
e1_25,Low dose,2.660956575391501
e1_26,Low dose,2.1629682345242958
e1_27,Low dose,1.757453123105614
e1_28,Low dose,0.8095545535947661
e1_29,Low dose,1.1849055591376962
e1_30,Low dose,1.4212906805951295
e1_31,Low dose,2.4408936944027286
e1_32,Low dose,0.9786458093231956
e1_33,Low dose,1.1690404913089654
e1_34,Low dose,1.361188595745975
e1_35,Low dose,0.9632709799416742
e1_36,Low dose,3.913471720844537
e1_37,Low dose,1.0133550634413075
e1_38,Low dose,1.071546880725265
e1_39,Low dose,0.7694554001282606
e1_40,Low dose,2.642437708256965
e1_41,Low dose,2.2270624113966795
e1_42,Low dose,1.70649986921634
e1_43,Low dose,1.3018448968128515
e1_44,Low dose,1.5722693363739253
e1_45,Low dose,1.4957124525504888
e1_46,Low dose,0.8143178304850976
e1_47,Low dose,0.8755668966359427
e1_48,Low dose,2.3388843696957626
e1_49,Low dose,1.5738073182154404
e1_50,Low dose,1.8425788199035347
e1_51,Low dose,1.3026588216398556
e1_52,Low dose,0.7669887365923521
e1_53,Low dose,2.447656957243956
e1_54,Low dose,0.9823094256566425
e1_55,Low dose,1.9140749169119458
e1_56,Low dose,2.5377211314145267
e1_57,Low dose,0.9839449578343973
e1_58,Low dose,2.6343258469038746
e1_59,Low dose,1.6521433757350719
e1_60,Low dose,1.1894189474540326
e1_61,Low dose,1.558905443851094
e1_62,Low dose,0.5929889130614273
e1_63,Low dose,2.352785627925173
e1_64,Low dose,0.7027014124038404
e1_65,Low dose,5.045481132582174
e1_66,Low dose,0.7133198788136476
e1_67,Low dose,0.9228905469055732
e1_68,Low dose,1.2721863528245072
e1_69,Low dose,3.087777762219254
e1_70,Low dose,3.063192560834198
e1_71,Low dose,3.6103392543267416
e1_72,Low dose,2.0822600885994738
e1_73,Low dose,1.6587155539309526
e1_74,Low dose,1.8335156824182692
e1_75,Low dose,2.358447408709356
e1_76,Low dose,3.4618289872261383
e1_77,Low dose,3.206231247433099
e1_78,Low dose,1.8413062782554341
