gene,time,value,module
Gene 13,0.0,0.10001329089230224,Middle
Gene 13,0.01694915254237288,0.10003064717813737,Middle
Gene 13,0.03389830508474576,0.10006862716997905,Middle
Gene 13,0.05084745762711865,0.10014923508275923,Middle
Gene 13,0.06779661016949153,0.10031514833356185,Middle
Gene 13,0.0847457627118644,0.10064629134909824,Middle
Gene 13,0.1016949152542373,0.10128709592090354,Middle
Gene 13,0.11864406779661017,0.10248921682972462,Middle
Gene 13,0.13559322033898305,0.10467502337593457,Middle
Gene 13,0.15254237288135594,0.10852656463199387,Middle
Gene 13,0.1694915254237288,0.11510197105318132,Middle
Gene 13,0.1864406779661017,0.12597541064714518,Middle
Gene 13,0.2033898305084746,0.14338708315041207,Middle
Gene 13,0.22033898305084745,0.17037651056308462,Middle
Gene 13,0.23728813559322035,0.2108572876987489,Middle
Gene 13,0.2542372881355932,0.26957819611791667,Middle
Gene 13,0.2711864406779661,0.35190977332884166,Middle
Gene 13,0.288135593220339,0.4634036345567626,Middle
Gene 13,0.3050847457627119,0.6090996042933033,Middle
Gene 13,0.3220338983050847,0.79260479812425,Middle
Gene 13,0.3389830508474576,1.0150345146117106,Middle
Gene 13,0.3559322033898305,1.273974595709476,Middle
Gene 13,0.3728813559322034,1.5626794705515417,Middle
Gene 13,0.3898305084745763,1.869737592423318,Middle
Gene 13,0.4067796610169492,2.1793989960573774,Middle
Gene 13,0.423728813559322,2.472662832853257,Middle
Gene 13,0.4406779661016949,2.7290779812086,Middle
Gene 13,0.4576271186440678,2.9290469316998315,Middle
Gene 13,0.4745762711864407,3.056283502420543,Middle
Gene 13,0.4915254237288136,3.0999999739819675,Middle
Gene 13,0.5084745762711864,3.0564168276737367,Middle
Gene 13,0.5254237288135594,2.929302111491243,Middle
Gene 13,0.5423728813559322,2.7294337031435774,Middle
Gene 13,0.559322033898305,2.4730908801267173,Middle
Gene 13,0.576271186440678,2.179867931808424,Middle
Gene 13,0.5932203389830508,1.87021652615918,Middle
Gene 13,0.6101694915254238,1.5631412900893702,Middle
Gene 13,0.6271186440677966,1.2743982226545656,Middle
Gene 13,0.6440677966101694,1.0154059854009752,Middle
Gene 13,0.6610169491525424,0.7929172189477641,Middle
Gene 13,0.6779661016949152,0.6093522196308695,Middle
Gene 13,0.6949152542372882,0.46360035277264955,Middle
Gene 13,0.711864406779661,0.3520575045295362,Middle
Gene 13,0.7288135593220338,0.26968529666737273,Middle
Gene 13,0.7457627118644068,0.21093230457117165,Middle
Gene 13,0.7627118644067796,0.17042731024025387,Middle
Gene 13,0.7796610169491526,0.14342035924956165,Middle
Gene 13,0.7966101694915254,0.12599650507524346,Middle
Gene 13,0.8135593220338984,0.11511491688190845,Middle
Gene 13,0.8305084745762712,0.10853425870850968,Middle
Gene 13,0.847457627118644,0.10467945298391354,Middle
Gene 13,0.864406779661017,0.10249168774250207,Middle
Gene 13,0.8813559322033898,0.10128843165665527,Middle
Gene 13,0.8983050847457628,0.10064699124133993,Middle
Gene 13,0.9152542372881356,0.10031550384732082,Middle
Gene 13,0.9322033898305084,0.10014941017038884,Middle
Gene 13,0.9491525423728814,0.10006871078433201,Middle
Gene 13,0.9661016949152542,0.10003068590205594,Middle
Gene 13,0.9830508474576272,0.1000133082860315,Middle
Gene 13,1.0,0.10000560498690017,Middle
Gene 12,0.0,0.10008483599108914,Middle
Gene 12,0.01694915254237288,0.10018303218624527,Middle
Gene 12,0.03389830508474576,0.10038348116678411,Middle
Gene 12,0.05084745762711865,0.10078024295578361,Middle
Gene 12,0.06779661016949153,0.10154164690820254,Middle
Gene 12,0.0847457627118644,0.10295807526244073,Middle
Gene 12,0.1016949152542373,0.10551191823281444,Middle
Gene 12,0.11864406779661017,0.10997391256268796,Middle
Gene 12,0.13559322033898305,0.1175265965792166,Middle
Gene 12,0.15254237288135594,0.12990879166180128,Middle
Gene 12,0.1694915254237288,0.14956434693465187,Middle
Gene 12,0.1864406779661017,0.17976440912581304,Middle
Gene 12,0.2033898305084746,0.22465742742320116,Middle
Gene 12,0.22033898305084745,0.28918923066271174,Middle
Gene 12,0.23728813559322035,0.3788328294390827,Middle
Gene 12,0.2542372881355932,0.49908062510342843,Middle
Gene 12,0.2711864406779661,0.6546852601250154,Middle
Gene 12,0.288135593220339,0.8486896861192001,Middle
Gene 12,0.3050847457627119,1.0813554052003114,Middle
Gene 12,0.3220338983050847,1.3491656427929053,Middle
Gene 12,0.3389830508474576,1.6441268909897708,Middle
Gene 12,0.3559322033898305,1.953596433690743,Middle
Gene 12,0.3728813559322034,2.2608102316001744,Middle
Gene 12,0.3898305084745763,2.5461738178685565,Middle
Gene 12,0.4067796610169492,2.7892256369841015,Middle
Gene 12,0.423728813559322,2.9710213074860587,Middle
Gene 12,0.4406779661016949,3.076561306970078,Middle
Gene 12,0.4576271186440678,3.096832650791677,Middle
Gene 12,0.4745762711864407,3.030079439564684,Middle
Gene 12,0.4915254237288136,2.8820539121185735,Middle
Gene 12,0.5084745762711864,2.665198232097316,Middle
Gene 12,0.5254237288135594,2.396918393838033,Middle
Gene 12,0.5423728813559322,2.097282251678142,Middle
Gene 12,0.559322033898305,1.786562980271375,Middle
Gene 12,0.576271186440678,1.4830405944383889,Middle
Gene 12,0.5932203389830508,1.2013783497384718,Middle
Gene 12,0.6101694915254238,0.9517406723453056,Middle
Gene 12,0.6271186440677966,0.7396574769622887,Middle
Gene 12,0.6440677966101694,0.5665055541277806,Middle
Gene 12,0.6610169491525424,0.4303964712345396,Middle
Gene 12,0.6779661016949152,0.327239186154924,Middle
Gene 12,0.6949152542372882,0.2517750182098345,Middle
Gene 12,0.711864406779661,0.1984434001788422,Middle
Gene 12,0.7288135593220338,0.16200720574013439,Middle
Gene 12,0.7457627118644068,0.13792861286344982,Middle
Gene 12,0.7627118644067796,0.12252999016783625,Middle
Gene 12,0.7796610169491526,0.11299643646511594,Middle
Gene 12,0.7966101694915254,0.1072804264253029,Middle
Gene 12,0.8135593220338984,0.10396057817653424,Middle
Gene 12,0.8305084745762712,0.10209232722646827,Middle
Gene 12,0.847457627118644,0.10107342045298813,Middle
Gene 12,0.864406779661017,0.10053478518706478,Middle
Gene 12,0.8813559322033898,0.1002587367484038,Middle
Gene 12,0.8983050847457628,0.10012156431469514,Middle
Gene 12,0.9152542372881356,0.10005546555203562,Middle
Gene 12,0.9322033898305084,0.10002457592182551,Middle
Gene 12,0.9491525423728814,0.10001057463868943,Middle
Gene 12,0.9661016949152542,0.1000044186591463,Middle
Gene 12,0.9830508474576272,0.10000179301824624,Middle
Gene 12,1.0,0.10000070655855649,Middle
Gene 14,0.0,0.10000179049155444,Middle
Gene 14,0.01694915254237288,0.1000044126314406,Middle
Gene 14,0.03389830508474576,0.10001056068957002,Middle
Gene 14,0.05084745762711865,0.10002454461034922,Middle
Gene 14,0.06779661016949153,0.10005539738321911,Middle
Gene 14,0.0847457627118644,0.10012142038421308,Middle
Gene 14,0.1016949152542373,0.10025844206257828,Middle
Gene 14,0.11864406779661017,0.10053420018920027,Middle
Gene 14,0.13559322033898305,0.10107229460285355,Middle
Gene 14,0.15254237288135594,0.10209022696529103,Middle
Gene 14,0.1694915254237288,0.10395678101872048,Middle
Gene 14,0.1864406779661017,0.10727377442669396,Middle
Gene 14,0.2033898305084746,0.11298514743783601,Middle
Gene 14,0.22033898305084745,0.1225114352552815,Middle
Gene 14,0.23728813559322035,0.13789908531487927,Middle
Gene 14,0.2542372881355932,0.16196172721085164,Middle
Gene 14,0.2711864406779661,0.19837563434486732,Middle
Gene 14,0.288135593220339,0.2516773804806647,Middle
Gene 14,0.3050847457627119,0.3271032435526715,Middle
Gene 14,0.3220338983050847,0.4302137078744104,Middle
Gene 14,0.3389830508474576,0.5662685274213698,Middle
Gene 14,0.3559322033898305,0.7393613067497969,Middle
Gene 14,0.3728813559322034,0.951384699511601,Middle
Gene 14,0.3898305084745763,1.2009676946446017,Middle
Gene 14,0.4067796610169492,1.482587270405947,Middle
Gene 14,0.423728813559322,1.7860862069214205,Middle
Gene 14,0.4406779661016949,2.0968076911568905,Middle
Gene 14,0.4576271186440678,2.3964762028030813,Middle
Gene 14,0.4745762711864407,2.6648200586441093,Middle
Gene 14,0.4915254237288136,2.881769217978771,Middle
Gene 14,0.5084745762711864,3.029911727578632,Middle
Gene 14,0.5254237288135594,3.0967962642239297,Middle
Gene 14,0.5423728813559322,3.0766594046611915,Middle
Gene 14,0.559322033898305,2.971245411210979,Middle
Gene 14,0.576271186440678,2.7895568409514366,Middle
Gene 14,0.5932203389830508,2.546585421103775,Middle
Gene 14,0.6101694915254238,2.2612712850374743,Middle
Gene 14,0.6271186440677966,1.95407554979856,Middle
Gene 14,0.6440677966101694,1.6445956721469281,Middle
Gene 14,0.6610169491525424,1.3496012298767346,Middle
Gene 14,0.6779661016949152,1.0817418797276699,Middle
Gene 14,0.6949152542372882,0.8490183113194744,Middle
Gene 14,0.711864406779661,0.654953756925296,Middle
Gene 14,0.7288135593220338,0.49929180791267536,Middle
Gene 14,0.7457627118644068,0.3789929620456318,Middle
