lineage,time,mean,lower,upper
Early programme,0.0,2.7,2.54,2.8600000000000003
Early programme,0.01694915254237288,2.523016382351048,2.3630163823510477,2.683016382351048
Early programme,0.03389830508474576,2.357633950226581,2.1976339502265807,2.517633950226581
Early programme,0.05084745762711865,2.203092251855066,2.043092251855066,2.363092251855066
Early programme,0.06779661016949153,2.058680682689256,1.8986806826892562,2.2186806826892562
Early programme,0.0847457627118644,1.9237352179461602,1.7637352179461603,2.08373521794616
Early programme,0.1016949152542373,1.7976353593273429,1.637635359327343,1.9576353593273428
Early programme,0.11864406779661017,1.6798012818801475,1.5198012818801476,1.8398012818801475
Early programme,0.13559322033898305,1.5696911678807044,1.4096911678807045,1.7296911678807043
Early programme,0.15254237288135594,1.466798715479543,1.306798715479543,1.626798715479543
Early programme,0.1694915254237288,1.3706508106542075,1.2106508106542075,1.5306508106542074
Early programme,0.1864406779661017,1.2808053517641886,1.1208053517641887,1.4408053517641886
Early programme,0.2033898305084746,1.1968492167051645,1.0368492167051646,1.3568492167051645
Early programme,0.22033898305084745,1.1183963633152405,0.9583963633152405,1.2783963633152404
Early programme,0.23728813559322035,1.0450860542985876,0.8850860542985876,1.2050860542985875
Early programme,0.2542372881355932,0.976581198504427,0.816581198504427,1.136581198504427
Early programme,0.2711864406779661,0.9125668009343295,0.7525668009343295,1.0725668009343294
Early programme,0.288135593220339,0.852748514350741,0.6927485143507409,1.0127485143507409
Early programme,0.3050847457627119,0.7968512858268284,0.6368512858268284,0.9568512858268284
Early programme,0.3220338983050847,0.7446180920142911,0.584618092014291,0.9046180920142911
Early programme,0.3389830508474576,0.6958087573137172,0.5358087573137171,0.8558087573137172
Early programme,0.3559322033898305,0.6501988495132713,0.4901988495132713,0.8101988495132714
Early programme,0.3728813559322034,0.6075786478176989,0.44757864781769885,0.7675786478176989
Early programme,0.3898305084745763,0.5677521785225007,0.4077521785225007,0.7277521785225007
Early programme,0.4067796610169492,0.5305363138991726,0.3705363138991725,0.6905363138991726
Early programme,0.423728813559322,0.4957599301480557,0.3357599301480557,0.6557599301480557
Early programme,0.4406779661016949,0.46326312054694646,0.3032631205469465,0.6232631205469464
Early programme,0.4576271186440678,0.4328964601774127,0.27289646017741265,0.5928964601774127
Early programme,0.4745762711864407,0.4045203188479222,0.24452031884792222,0.5645203188479222
Early programme,0.4915254237288136,0.37800421905451004,0.21800421905451003,0.53800421905451
Early programme,0.5084745762711864,0.35322623602679376,0.19322623602679376,0.5132262360267937
Early programme,0.5254237288135594,0.33007243710066597,0.17007243710066597,0.49007243710066595
Early programme,0.5423728813559322,0.30843635783982076,0.14843635783982076,0.46843635783982074
Early programme,0.559322033898305,0.2882185124972437,0.12821851249724367,0.44821851249724365
Early programme,0.576271186440678,0.2693259365657022,0.10932593656570219,0.42932593656570217
Early programme,0.5932203389830508,0.25167175931381697,0.09167175931381696,0.41167175931381694
Early programme,0.6101694915254238,0.23517480434217405,0.07517480434217405,0.39517480434217406
Early programme,0.6271186440677966,0.21975921632278056,0.059759216322780556,0.37975921632278054
