rank,running_score,hit,rank_metric
1,-0.006060606060606061,0,2.5
2,-0.012121212121212121,0,2.477386934673367
3,-0.01818181818181818,0,2.4547738693467336
4,-0.024242424242424242,0,2.4321608040201004
5,0.025236473704124098,1,2.409547738693467
6,0.07425102328621057,1,2.386934673366834
7,0.06819041722560451,0,2.364321608040201
8,0.06212981116499845,0,2.341708542713568
9,0.056069205104392394,0,2.319095477386935
10,0.050008599043786336,0,2.2964824120603016
11,0.04394799298318028,0,2.2738693467336684
12,0.03788738692257422,0,2.251256281407035
13,0.03182678086196816,0,2.228643216080402
14,0.0257661748013621,0,2.2060301507537687
15,0.07060158910329173,1,2.1834170854271355
16,0.11497265504075949,1,2.1608040201005023
17,0.10891204898015343,0,2.1381909547738696
18,0.10285144291954737,0,2.1155778894472363
19,0.09679083685894131,0,2.092964824120603
20,0.09073023079833525,0,2.07035175879397
21,0.13277955491349364,1,2.0477386934673367
22,0.12671894885288756,0,2.0251256281407035
23,0.1206583427922815,0,2.0025125628140703
24,0.1613146218140543,1,1.979899497487437
25,0.15525401575344822,0,1.957286432160804
26,0.14919340969284214,0,1.9346733668341707
27,0.18845664362122933,1,1.9120603015075377
28,0.22725552918515463,1,1.8894472361809045
29,0.22119492312454855,0,1.8668341708542713
30,0.21513431706394248,0,1.8442211055276383
31,0.2090737110033364,0,1.821608040201005
32,0.20301310494273034,0,1.7989949748743719
33,0.19695249888212427,0,1.7763819095477387
34,0.2329652942592783,1,1.7537688442211055
35,0.2685137412719705,1,1.7311557788944723
36,0.26245313521136443,0,1.708542713567839
37,0.2563925291507584,0,1.685929648241206
38,0.29054793107006494,1,1.6633165829145728
39,0.32423898462490963,1,1.6407035175879396
40,0.3181783785643036,0,1.6180904522613067
41,0.31211777250369754,0,1.5954773869346734
42,0.3444157809651566,1,1.5728643216080402
43,0.37624944106215386,1,1.550251256281407
44,0.4076187527946892,1,1.5276381909547738
45,0.40155814673408313,0,1.5050251256281406
46,0.3954975406734771,0,1.4824120603015074
47,0.38943693461287104,0,1.4597989949748744
48,0.4189488528875589,1,1.4371859296482412
49,0.41288824682695285,0,1.414572864321608
50,0.4068276407663468,0,1.3919597989949748
51,0.40076703470574077,0,1.3693467336683416
52,0.42842155952258115,1,1.3467336683417086
53,0.4223609534619751,0,1.3241206030150754
54,0.41630034740136906,0,1.3015075376884422
55,0.410239741340763,0,1.278894472361809
56,0.404179135280157,0,1.2562814070351758
57,0.39811852921955093,0,1.2336683417085426
58,0.3920579231589449,0,1.2110552763819096
59,0.38599731709833884,0,1.1884422110552764
60,0.40993705499948424,1,1.1658291457286432
61,0.4038764489388782,0,1.14321608040201
62,0.39781584287827215,0,1.1206030150753767
63,0.3917552368176661,0,1.0979899497487438
64,0.41383758126096404,1,1.0753768844221105
65,0.43545557733980006,1,1.0527638190954773
66,0.45660922505417423,1,1.0301507537688441
67,0.4505486189935682,0,1.007537688442211
68,0.44448801293296214,0,0.9849246231155779
69,0.4642486155539507,1,0.9623115577889447
70,0.4835448698104774,1,0.9396984924623115
71,0.47748426374987135,0,0.9170854271356783
72,0.4714236576892653,0,0.8944723618090451
73,0.46536305162865926,0,0.8718592964824121
74,0.48280191242733844,1,0.8492462311557789
75,0.4767413063667324,0,0.8266331658291457
76,0.47068070030612635,0,0.8040201005025125
77,0.4646200942455203,0,0.7814070351758793
78,0.45855948818491427,0,0.7587939698492461
79,0.4524988821243082,0,0.7361809045226131
80,0.4464382760637022,0,0.7135678391959799
81,0.44037767000309613,0,0.6909547738693467
82,0.4343170639424901,0,0.6683417085427135
83,0.42825645788188405,0,0.6457286432160803
84,0.44105183503594453,1,0.6231155778894473
85,0.4533828638255431,1,0.6005025125628141
86,0.44732225776493706,0,0.5778894472361809
87,0.441261651704331,0,0.5552763819095476
88,0.43520104564372497,0,0.5326633165829144
89,0.4291404395831189,0,0.5100502512562812
90,0.4230798335225129,0,0.487437185929648
91,0.41701922746190684,0,0.4648241206030148
92,0.4109586214013008,0,0.44221105527638205
93,0.41957486327520443,1,0.41959798994974884
94,0.4135142572145984,0,0.39698492462311563
95,0.40745365115399235,0,0.3743718592964824
96,0.4013930450933863,0,0.3517587939698492
97,0.39533243903278026,0,0.329145728643216
98,0.3892718329721742,0,0.3065326633165828
